"Story","Title","Result","Date","Stability","Duration (s)"
"Posts","POST - As an admin I have be able to create new posts rating","SUCCESS","2023-05-08T18:26:13.5254933+07:00[Asia/Jakarta]","0.0","2.61"
"Posts","GET - As an admin I have be able to see posts rating number 1","SUCCESS","2023-05-08T18:26:16.2867328+07:00[Asia/Jakarta]","0.0","0.81"
"Posts","GET - As an admin I shouldn't be able to see posts rating with invalid url","SUCCESS","2023-05-08T18:26:17.1077129+07:00[Asia/Jakarta]","0.0","0.11"
"Posts","POST - As an admin I have be able to create new posts comment","SUCCESS","2023-05-08T18:26:17.2315466+07:00[Asia/Jakarta]","0.0","0.16"
"Posts","POST - As an admin I shouldn't be able to create new posts commant with invalid url","SUCCESS","2023-05-08T18:26:17.4099295+07:00[Asia/Jakarta]","0.0","0.15"
"Posts","GET - As an admin I have be able to see posts number 1","SUCCESS","2023-05-08T18:26:17.5759238+07:00[Asia/Jakarta]","0.0","0.43"
"Posts","GET - As an admin I shouldn't be able to see posts with invalid url","SUCCESS","2023-05-08T18:26:18.0095886+07:00[Asia/Jakarta]","0.0","0.34"
"Posts","POST - As an admin I have be able to create new posts","SUCCESS","2023-05-08T18:26:18.3594912+07:00[Asia/Jakarta]","0.0","0.16"
"Posts","POST - As an admin I shouldn't be able to create new posts with invalid url","SUCCESS","2023-05-08T18:26:18.528475+07:00[Asia/Jakarta]","0.0","0.1"
"Posts","DELETE - As admin I have be able to delete existing posts","SUCCESS","2023-05-08T18:26:18.6391069+07:00[Asia/Jakarta]","0.0","0.12"
"Posts","DELETE - As admin I shouldn't be able to delete without input which posts","SUCCESS","2023-05-08T18:26:18.7660119+07:00[Asia/Jakarta]","0.0","0.33"
